"advertiser_id","url","title","description","country","city","ZIP","canton","street","phone","type","category","property","floor","room","surface","price","currency","availableDate","extra","photos"
"ID82162","https://anibis.ch/fr/d-immobilier-immobilier-locations-argovie--413/4-1-2-zimmer-gartenwohnung-inkl-1tgparkplatz-und-hobbyraum--30384792.aspx?view=2&pi=1&fcid=410&pr=1","4 1/2 Zimmer Gartenwohnung inkl. 1TG.Parkplatz und Hobbyraum","Wir vermieten eine wunderschöne  
**Tolle 4 1/2 Zimmer Gartenwohnung inkl. 1TG.Parkplatz und Hobbyraum in kinderfreundlichem Quartier** mitten in Hausen AG.  
Die Ideale Wohnung für Familien mit Kindern.

Wir suchen eine Unkomplizierte Familie die, diese Gelegenheit nützen möchte, in dieser schönen Gartenwohnung in der Nähe der Schulen, Spielplatz, Einkaufmöglichkeiten, Autobahnanschluss..... zu wohnen.

**Objektbeschrieb:**   
Die modern konzipierte 4.5 Zimmer Wohnung befindet sich in einer familienfreundlichen Umgebung.  
Die Wohnung verfügt über Wohn- Esszimmer, Küche, drei Schlafzimmer und zwei Nasszellen, Abstellraum.

Parkettböden: frisch renoviert in allen Zimmer/Wohnzimmer

Plattenböden: Nasszellen/Küche

Raumaufteilung Parterrewohnung 114 m²  
Eigener Waschturm in der Wohnung  
Eigene Heizungsanlage in Wohnung  
Die Wohnung verfügt über ein grosses eigenes Kellerabteil,und Disporaum

**Der Mietpreis setzt sich wie folgt zusammen:**

* **Nettomiete: 1860.--**
* **Nebenkosten: 200.--**
* **TGPP: 120.--**
* **Bruttomietzins: 2180.--**

Auch Ihr Haustier dürfen Sie mitbringen!

Haben wir Ihr Interesse geweckt?  
WIr freuen uns auf Ihre Kontaktaufnahme!  
Eine Besichtigung ist nach Absprache jederzeit möglich.

Tel:079 844 00 14","Suisse","Hausen AG","5212","(AG)","Südbahnstrasse 5",">undefined phone number<","RENT","1","0","0",">undefined room<",">undefined surface<","2180","CHF","01.12.2019","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/NNCAcPpoi02vo3kbSyIpDg_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/2Hlxxo4-PE6yLeVnvOJEqA_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/CZD81lrG-U-2dlJpiy_Juw_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/FUSSgewjVEO8kC_Uc1cJjQ_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/Zt2ckmq2P0yVT3KkYp5VFA_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/BWoocVAo60STOyvau0-kKw_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/NBWwsDU2_UaciwWk9aGrcA_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/gUGUaF0nUUKBDldJ6KolZg_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/Tr1jqJx8zUyngxsBXWFzIw_1.jpg', 'https://can01.anibis.ch/Argovie-4-1-2-Zimmer-Gartenwohnung-inkl.-1TG.Parkplatz-und/?1024x768/3/60/anibis/792/384/030/5XViLnqfskKml4RON2OCkg_1.jpg']"
"ID7811","https://anibis.ch/fr/d-immobilier-immobilier-locations-neuch%c3%a2tel--423/appartement-avec-cachet-%c3%a0-louer--30384677.aspx?view=2&pi=1&fcid=410&pr=1","Appartement avec cachet à louer","Bonjour,

Je cherche une personne pour reprendre mon bail.

Loyer : 810

Salle de bain/WC : 1

Etage : 1er  
Nom de pièce : 2 (grande entrée, n'est pas compté comme une pièce)

Libre : 1.10.2019

A louer dès le 1er octobre 2019, bel appartement de 2 pièces en duplex dans maison villageoise située au Chemin des Chasses-Peines 5 à Hauterive.

Loyer de CHF 810.00 charges comprises.  
Le système de chauffage étant individuel, les frais en découlant seront à la charge du locataire.

Cet appartement se compose d’une cuisine agencée, d’une chambre, d’un séjour et d’une salle-de-bains/WC. Une cave est également mise à disposition avec l’appartement.

Cette maison typique d’Hauterive se trouve proche des écoles, de la boulangerie, de l’administration communale et des transports en commun.

N'hésitez pas à me contacter pour de plus amples renseignements !","Suisse","Hauterive NE","2068","(NE)","Chemin des chasse-peines 5","+41 789000227","RENT","1","8","0","2.0 ",">undefined surface<","810","CHF",">undefined availableDate<","","['https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/GWLkK3_kvUe8l7S1VOVqQQ_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/bDU7ZRo5tkK_EOQYSvCysw_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/uoMYX3-d_EGyFblvwHE-EQ_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/N8m3CrqcEkCO73uILhoBiA_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/eaBmZqwmrEG0EyFQmvjrAQ_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/KOlDNsrlB0-5JQ8DDf7Qzg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/Idm5ERbzfkK23TqG2F14Fg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Appartement-avec-cachet-a-louer/?1024x768/3/60/anibis/677/384/030/izl7Yjz5yEG3k8hnlPaROA_1.jpg']"
"ID3212","https://anibis.ch/fr/d-immobilier-immobilier-locations-neuch%c3%a2tel--423/villa-mitoyenne-45-pi%c3%a8ces-avec-garage,-parc-et-jardin--30384688.aspx?view=2&pi=1&fcid=410&pr=1","Villa mitoyenne 4.5 pièces avec garage, parc et jardin","Joli appartement de 4 pièces de 120 m2 dans une villa mitoyenne à louer comprenant :

- 1 garage

- 1 place de parc

- 1 cuisine agencée

- 1 salle-de-bains

- 1 WC sparé

- 1 cagibi

- 1 grande cave

- 1 jardin

L'immeuble appartient à notre société :

Fonds de prévoyance

en faveur du personnel

d'Emile Egger & Cie SA

route de Neuchâtel 36

2088 Cressier 

Pour tout renseignement complémentaire, vous pouvez nous contacter au 032 758 71 10 durant les heures de travail ou par le formulaire email.

","Suisse","Cressier NE","2088","(NE)","Broillets 4a","+41 327587110","RENT","2","19","0","4.5 ","120 m2","2060","CHF","01.10.2019","Balcon / Terrasse / Jardinet - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/cWHv21bDwkWcKgJTxO6C3g_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/Ol420UcskUa3C3kXP0YX7w_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/G-sLxw7jKUKY_e_XQjgPfA_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/xmjEpX80AU64pM5cE7UGFg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/tO3dzQ5lZkyIosrw4EINww_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/Bg4lr5rE9kOV563uWTGA2Q_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/d4TGGG4sfkmpBTp6H8r1dg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/aWsZCEd1ZkGzP1JwBvpb4w_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/4MTURt939E6o4DotGMkfdA_1.jpg', 'https://can01.anibis.ch/Neuchatel-Villa-mitoyenne-4.5-pieces-avec-garage,-parc-et-ja/?1024x768/3/60/anibis/688/384/030/Ylz_tIYMmkenuiywIBYZDA_1.jpg']"
"ID72994","https://anibis.ch/fr/d-immobilier-immobilier-locations-neuch%c3%a2tel--423/lumineux-3-pi%c3%a8ces-de-70m2-au-1er-%c3%a9tage--30384647.aspx?view=2&pi=1&fcid=410&pr=1","Lumineux 3 pièces de 70m2 au 1er étage","Lumineux et spacieux 3 pièces de 70m2 au 1er étage d'un immeuble familial.

L'appartement offre une cuisine agencée et habitable, un salon, deux chambres, un wc/douche, une cave, un galetas, un jardin d'agrément et un jardin potager ainsi qu'une place de parc.

Les animaux ne sont pas désirés.

Loyer 870.- + charges

Contact 032.861.36.49 Ou 079.407.29.74","Suisse","Fleurier","2114","(NE)",">undefined street<",">undefined phone number<","RENT","1","0","0","3.0 ","70 m2","870","CHF",">undefined availableDate<","Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/n5bI-XaLMUydnop48iFrMg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/RZXlne0tck-E9zIKmAOTJQ_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/jMc0weqCKUK-NxmvmH4Oyg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/vp8ma3jRK0-m76kP2kB85Q_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/T_irp0dfPUKDzuIpbbUuKQ_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/1049qvbFHUGuCBp0p0b5Iw_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/WAu01BbuxkmocytilxgFJA_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/nxP8WqMGkUKRMxggcK8Agg_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/rVt5Loqia0-clXPKNEc94w_1.jpg', 'https://can01.anibis.ch/Neuchatel-Lumineux-3-pieces-de-70m2-au-1er-etage/?1024x768/3/60/anibis/647/384/030/8Og-zmDiZ02v7YYQoUrpOQ_1.jpg']"
"ID7007","https://anibis.ch/fr/d-immobilier-immobilier-locations-valais--433/studio-%c3%a0-louer-%c3%a0-aproz-%c3%a0-5-minutes-de-sion--30384702.aspx?view=2&pi=1&fcid=410&pr=1","Studio à louer à Aproz à 5 minutes de Sion","Studio à louer dans le joli village d'Aproz à 5 minutes de Sion.

Le studio comporte un balcon, une salle de bain rénovée, une cuisine  ouverte en très bon état tout comme l'entièreté du studio.

Loyer 630.-

Une place de parc en sus obligatoire au prix de 60.-.

Magasin et restaurant à 5 minutes à pieds.

Disponible de suite","Suisse","Aproz (Nendaz)","1994","(VS)",">undefined street<",">undefined phone number<","RENT","1","9","0","1.0 ","15 m2","690","CHF",">undefined availableDate<","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","[]"
"ID72025","https://anibis.ch/fr/d-immobilier-immobilier-locations-gen%c3%a8ve--418/parking-place-de-parc-au-petit-lancy--30384697.aspx?view=2&pi=1&fcid=410&pr=1","Parking (place de parc) au Petit Lancy","Parking (place de parc) fermé au sous sol au Petit Lancy à 10 minutes de l'aéroport et 100 mètres de l'arrêt de tram et bus.

140.- par mois

Libre de suite","Suisse","Petit-Lancy","1213","(GE)",">undefined street<","+41 794127020","RENT","6","30","0",">undefined room<",">undefined surface<","140","CHF",">undefined availableDate<","","[]"
"ID55300","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/appartement-lausanne-ouchy--30384650.aspx?view=2&pi=1&fcid=410&pr=1","Appartement Lausanne Ouchy ","Magnifique appartement de 2,5 pces à Ouchy ! (67m2)  
Appartement composé de : Une chambreUn couloir avec voûteUne grande pièce à vivre avec cuisineUne Magnifique salle de bain (baignoire + douche) Une cave PAS DE BALCON   
Loyer 1500.-Charges 95.-   
Pas de place de parc mais beaucoup de places devant   
Pour le 1er octobre   
Visite 079 526 11 40 avec dossier complet :- copie carte d’identité ou permis de séjour;- 3 dernières fiches salaires - attestation de l’office de poursuite   
PERSONNES SOLVABLE AVEC DOSSIER COMPLET UNIQUEMENT   
","Suisse","Lausanne","1006","(VD)",">undefined street<",">undefined phone number<","RENT","1","0","0","2.5 ","65 m2","1595","CHF",">undefined availableDate<","","['https://can01.anibis.ch/Vaud-Appartement-Lausanne-Ouchy/?1024x768/3/60/anibis/650/384/030/4obQKvIt8UGj3J3rgGe0hA_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-Lausanne-Ouchy/?1024x768/3/60/anibis/650/384/030/-90I76FSLUeejIzX-eOncA_1.jpg', 'https://can01.anibis.ch/Vaud-Appartement-Lausanne-Ouchy/?1024x768/3/60/anibis/650/384/030/xNY9Bt3Bkky4BMVdNGMEUw_1.jpg']"
"ID38956","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/reprise-de-bail-appartement-4,5-pi%c3%a8ces-1522-lucens--30118454.aspx?view=2&pi=1&fcid=410&pr=1","Reprise de bail Appartement 4,5 pièces 1522 Lucens","**Appartement 4,5 pièces,**

* 2 chambres à coucher,
* 1 salle d'eau avec baignoire,
* 1 salle d'eau avec douche et buanderie,
* 1 mezzanine,
* cuisine ouverte sur grand salon.

Place de parc en plus, CHF 50.0

**Participation aux premiers loyers si reprise rapide.**","Suisse","Lucens","1522","(VD)","Route de Villeneuve","+41 795258443","RENT","1","16","0","4.5 ","110 m2","2000","CHF",">undefined availableDate<","Animaux domestiques acceptés - Ascenseur - Balcon / Terrasse / Jardinet - Garage / Place de parc ","['https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/EID9BFRo5EWmEj_j50VM5A_1.jpg', 'https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/KvjY9STmXkiWQFzTv9MgiA_1.jpg', 'https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/2ltEiTWSZUG85VtBePH-YQ_1.jpg', 'https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/qvNy1UPAn06gHBwhC0KjrA_1.jpg', 'https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/vzXG4c0l5Ua38ynGyWYjIQ_1.jpg', 'https://can01.anibis.ch/Vaud-Reprise-de-bail-Appartement-4,5-pieces-1522-Lucens/?1024x768/3/60/anibis/454/118/030/SRZtBKvqv02YgLlzL_busQ_1.jpg']"
"ID93173","https://anibis.ch/fr/d-immobilier-immobilier-locations-vaud--434/place-de-parc-ext%c3%a9rieure-%c3%a0-la-conversion--30384655.aspx?view=2&pi=1&fcid=410&pr=1","Place de parc extérieure à la Conversion","Je loue une place de parc extérieure au Ch. des Brûlées à la Conversion.

Elle est disponible dès le 01.09.2019 au prix de 140 Fr.

Pour tout renseignement complémentaire, merci d’appeler le 079/318.44.06.","Suisse","La Conversion","1093","(VD)","Chemin des Brûlées","+41 793184406","RENT","6","91","0",">undefined room<",">undefined surface<","140","CHF","01.09.2019","","[]"
"ID68628","https://anibis.ch/fr/d-immobilier-immobilier-locations-lucerne--422/m%c3%b6blierte-b%c3%bcror%c3%a4umlichkeit-in-der-region-luzern--30384639.aspx?view=2&pi=1&fcid=410&pr=1","Möblierte Büroräumlichkeit in der Region Luzern","Wir vermieten einen möblierten Büroraum mit folgenden Merkmalen/Vorteilen.

- an ruhiger Lage

- helle Räume mit Dachfenstern

- Post, Bank, Einkaufsmöglichkeiten und Restaurants in der Nähe

- ca. 22m², bietet Platz für 1-2 Personen

- gemeinschaftliche Nutzung der Teeküche und WC-Anlage

- inkl. Internet (W-LAN)

- Parkplätze können dazu gemietet werden

Preis Verhandelbar.

Ist Ihr Interesse geweckt? Für einen Besichtigungstermin melden Sie sich unter 079 580 68 90.","Suisse","Lucerne","6003","(LU)",">undefined street<","+41 795806890","RENT","9","60","0","1.0 ","22 m2","800","CHF",">undefined availableDate<","","[]"
